number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
33,0.8183769858303286,2025-12-24 14:50:13.212446,2025-12-24 14:50:17.669728,0 days 00:00:04.457282,8.538710667559258e-05,0.6229339328631845,47,2.384972302832017,0.763468932923311,0.059593994483057765,8,95,1357,0.5770409182249459,0.9188467032915331,0.8896420704708347,0.3970435857772827,COMPLETE
34,0.8198810535254132,2025-12-24 14:50:17.670025,2025-12-24 14:50:27.637926,0 days 00:00:09.967901,4.15577703488253e-07,0.7134018634130903,105,1.2551131240241205,0.07078926425771513,0.016983579024977005,7,40,1286,0.5934923790050135,0.9244065930593217,0.8965347082549384,0.358033150434494,COMPLETE
35,0.8192357234859747,2025-12-24 14:50:27.638209,2025-12-24 14:50:36.674874,0 days 00:00:09.036665,3.076495904137001e-08,0.6618601743512019,99,0.8566069817169502,0.005051861576509896,0.025446215912302155,6,58,1294,0.6135583162816104,0.9236169163359925,0.8952873263838326,0.38585612177848816,COMPLETE
36,0.8133561643830617,2025-12-24 14:50:36.675255,2025-12-24 14:50:45.086560,0 days 00:00:08.411305,1.7395619473508116e-05,0.7655038215740132,154,1.398489535438822,0.032404660146388584,0.006765668663296207,4,31,1407,0.5506558400713886,0.9182766929122849,0.887087392455961,0.3812735974788666,COMPLETE
37,0.7788161993764483,2025-12-24 14:50:45.086836,2025-12-24 14:50:49.274640,0 days 00:00:04.187804,0.00015021572053064276,0.4753056867450276,121,3.4573408550824274,2.119582669159204,0.004450200419907027,7,110,621,0.599020362030666,0.8914244297973314,0.846827497655438,0.4388614296913147,COMPLETE
38,0.8248239436614725,2025-12-24 14:50:49.275560,2025-12-24 14:50:57.696344,0 days 00:00:08.420784,4.4322499228368277e-08,0.8001650380985006,137,0.06226336119712994,22.95726978992482,0.056435124288643085,14,71,1335,0.536984244964071,0.9244182530400045,0.8952706835303154,0.4292815625667572,COMPLETE
39,0.8166519043396249,2025-12-24 14:50:57.697061,2025-12-24 14:51:02.846576,0 days 00:00:05.149515,2.2836994675488916e-08,0.8078305037907102,139,0.23410467293055515,39.89724287248483,0.0781241614169763,13,154,987,0.5354989681535325,0.9174085147765413,0.8871015388814505,0.44844505190849304,COMPLETE
40,0.776417233559593,2025-12-24 14:51:02.846890,2025-12-24 14:51:08.274360,0 days 00:00:05.427470,37.159215802523555,0.8751620193024937,179,3.0335972575840797,17.396719461183785,0.19048072536909466,14,260,1384,0.5035937338236992,0.8917332730878551,0.8425893950073104,0.4589778482913971,COMPLETE
41,0.8218588640270388,2025-12-24 14:51:08.274619,2025-12-24 14:51:14.057531,0 days 00:00:05.782912,5.498856501248906e-08,0.6913673722218406,127,0.8505139586164576,0.11145337094871963,0.05808303006774443,12,69,1261,0.5637612922236884,0.9230427445615593,0.895891461966503,0.3964371383190155,COMPLETE
42,0.8175675675670675,2025-12-24 14:51:14.057819,2025-12-24 14:51:21.245408,0 days 00:00:07.187589,7.716061434625826e-08,0.7436640814037169,121,0.6811857490458149,0.010889677457329314,0.046580184248966656,14,69,1346,0.5642653684927941,0.9217699125643433,0.8922025734844393,0.36627620458602905,COMPLETE
