number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
56,0.5143607137950011,2025-12-22 01:25:25.432666,2025-12-22 01:25:25.532360,0 days 00:00:00.099694,1.4079860654486662,0.0002025175618130031,0.0031854529595658977,poly,0.8863267026678199,0.11156398063868966,1.4058919471215512,0.5143607137950011,COMPLETE
57,-0.04560651554099761,2025-12-22 01:25:25.532444,2025-12-22 01:25:25.619024,0 days 00:00:00.086580,0.013395004282408815,0.0008773117074887541,0.0006470063841708235,sigmoid,1.0789071230133342,-0.015955894086167488,1.5034060432312146,-0.04560651554099761,COMPLETE
58,0.4631880747454486,2025-12-22 01:25:25.619115,2025-12-22 01:25:25.721278,0 days 00:00:00.102163,0.024422605600443643,0.0005267769027366854,1.9390954762224182,poly,0.926469474352151,0.08703868092484857,1.4251646885564064,0.4631880747454486,COMPLETE
59,0.3120797205645682,2025-12-22 01:25:25.721368,2025-12-22 01:25:25.957055,0 days 00:00:00.235687,0.09400021872208623,0.0003789264602113608,,linear,1.0256573760025298,-0.01681010874441391,1.5040379415523921,0.3120797205645682,COMPLETE
60,0.5417252841793987,2025-12-22 01:25:25.957145,2025-12-22 01:25:26.041010,0 days 00:00:00.083865,0.17609408068611396,0.0023292893230299166,9.527231627978016e-05,poly,1.0775385737908771,-0.005329052563942893,1.4955226026170512,0.5417252841793987,COMPLETE
61,0.6963603923885617,2025-12-22 01:25:26.041105,2025-12-22 01:25:26.125917,0 days 00:00:00.084812,0.0084242421051824,0.0005965748757122225,0.0014411733625480122,poly,0.9362007026354028,0.11960876919145047,1.3995122962393025,0.6963603923885617,COMPLETE
62,0.7222276623279622,2025-12-22 01:25:26.126005,2025-12-22 01:25:26.211051,0 days 00:00:00.085046,0.005556190720127679,0.00028563254830935367,0.002617909355646673,poly,0.8106198858430055,0.20712494955102367,1.328131999491067,0.7222276623279622,COMPLETE
63,0.6902191468547761,2025-12-22 01:25:26.211145,2025-12-22 01:25:26.299189,0 days 00:00:00.088044,0.003072423789951885,0.0002688206494720315,0.008448677613178829,poly,0.7699709718781639,0.20246038335734884,1.332033039531802,0.6902191468547761,COMPLETE
64,0.5417252841793987,2025-12-22 01:25:26.299274,2025-12-22 01:25:26.382894,0 days 00:00:00.083620,0.005359821666124156,0.0001727937516623805,0.00030715279294396585,poly,1.0766438591206364,-0.005093805259604345,1.4953476160075854,0.5417252841793987,COMPLETE
65,0.6989781891930603,2025-12-22 01:25:26.382984,2025-12-22 01:25:26.468133,0 days 00:00:00.085149,0.001168686189898848,0.00010343490686546856,0.0036143391061710466,poly,0.8473606550332983,0.18067180648933423,1.3501058349835569,0.6989781891930603,COMPLETE
66,0.5431068991595507,2025-12-22 01:25:26.468218,2025-12-22 01:25:26.519196,0 days 00:00:00.050978,0.05125113066548517,0.3643566276068414,0.001026660974924906,rbf,1.0082111421501259,0.0558317203049461,1.4493176041862057,0.5431068991595507,COMPLETE
67,0.737927832556962,2025-12-22 01:25:26.519283,2025-12-22 01:25:26.604768,0 days 00:00:00.085485,0.012356496840289923,0.0002697364694821703,0.0025774123406710255,poly,0.7837994210692865,0.219366713003874,1.317839126548892,0.737927832556962,COMPLETE
68,0.6251411149308234,2025-12-22 01:25:26.604853,2025-12-22 01:25:26.686184,0 days 00:00:00.081331,0.0016414145983878034,0.031878734640408274,0.018621357657306083,poly,0.8039926091606969,0.17497944037261304,1.3547877160321329,0.6251411149308234,COMPLETE
69,0.6906091721362546,2025-12-22 01:25:26.686267,2025-12-22 01:25:26.774281,0 days 00:00:00.088014,0.00559273773639243,0.00023847617877641405,0.006417257052154981,poly,0.7701802319177451,0.2040473646514085,1.330707109063895,0.6906091721362546,COMPLETE
70,0.46317154825047074,2025-12-22 01:25:26.774366,2025-12-22 01:25:26.875313,0 days 00:00:00.100947,0.012869391867954688,0.0010294841679932814,0.04316488736044289,poly,0.9264149418139097,0.08689975648365966,1.4252731173980242,0.46317154825047074,COMPLETE
71,0.4631880747454486,2025-12-22 01:25:26.875398,2025-12-22 01:25:26.977539,0 days 00:00:00.102141,866.8679602060189,0.0003146538311309084,0.0025349158931225616,poly,0.9265252438162627,0.08705173461338644,1.4251544998868149,0.4631880747454486,COMPLETE
72,0.6929856821140759,2025-12-22 01:25:26.977630,2025-12-22 01:25:27.062356,0 days 00:00:00.084726,0.028800512983229977,0.0004363297336579791,0.0008070709656186042,poly,0.9917275981982158,0.07508236883851127,1.4344664448105655,0.6929856821140759,COMPLETE
