number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
62,0.3869913490624988,2025-12-23 07:10:38.840145,2025-12-23 07:11:12.586538,0 days 00:00:33.746393,16,0.3047000666483293,0.026886511362527787,768,2.6942676619069554e-05,4,3,2.0116276072728377e-05,PRUNED
63,0.5014434426428092,2025-12-23 07:11:12.586728,2025-12-23 07:12:49.940717,0 days 00:01:37.353989,16,0.3795862553568909,0.12942438452890062,768,2.0406737692920995e-05,4,3,0.0005713097487745709,PRUNED
64,0.08233728351077252,2025-12-23 07:12:49.940906,2025-12-23 07:13:32.192364,0 days 00:00:42.251458,128,0.24946303368955342,0.21573746375627278,768,3.421777789965623e-05,4,3,0.005466775632765671,PRUNED
65,0.19810729711287578,2025-12-23 07:13:32.192549,2025-12-23 07:14:09.729421,0 days 00:00:37.536872,64,0.43062021666280637,0.0700280867657537,512,0.0005707270837595237,8,3,2.459188308596087e-06,PRUNED
66,0.49050865817245737,2025-12-23 07:14:09.729603,2025-12-23 07:15:14.540002,0 days 00:01:04.810399,16,0.5908621414877258,0.10434458397050765,768,0.0002570633898187991,4,3,0.000947407223924878,PRUNED
67,0.3436354863887888,2025-12-23 07:15:14.540191,2025-12-23 07:15:48.358247,0 days 00:00:33.818056,32,0.842698661503685,0.3357616010848004,512,6.58718226366166e-05,4,4,5.238440548298915e-05,PRUNED
68,0.41100435489952164,2025-12-23 07:15:48.358423,2025-12-23 07:16:20.537620,0 days 00:00:32.179197,16,0.5215902250628017,0.2576078927576646,768,1.1443231371549236e-05,8,3,0.00021248493480616952,PRUNED
69,0.4053388344642702,2025-12-23 07:16:20.537812,2025-12-23 07:16:53.957818,0 days 00:00:33.420006,16,0.14027938359098083,0.1988580915982831,256,0.00035911780861752564,4,3,0.002334927270589754,PRUNED
70,0.009140299628801907,2025-12-23 07:16:53.958001,2025-12-23 07:17:31.988386,0 days 00:00:38.030385,64,0.34874632915244835,0.15948318094982114,512,1.7037750071862544e-05,4,4,4.694762375991421e-10,PRUNED
71,0.5630147785916438,2025-12-23 07:17:31.988566,2025-12-23 07:26:20.145551,0 days 00:08:48.156985,16,0.4606367727481004,0.05059001073043887,768,3.6138214639861466e-05,4,3,0.0002893002739272834,COMPLETE
72,0.559097098713194,2025-12-23 07:26:20.145886,2025-12-23 07:33:28.186619,0 days 00:07:08.040733,16,0.3987333311211312,0.03509643793872707,768,3.7350131106515564e-05,4,3,7.957082077020297e-05,COMPLETE
73,0.4152166418406047,2025-12-23 07:33:28.186943,2025-12-23 07:34:00.752372,0 days 00:00:32.565429,16,0.4945132886297769,0.04942519769071298,768,2.4605868201870893e-05,4,3,0.00027209730984817794,PRUNED
74,0.361016863043718,2025-12-23 07:34:00.752568,2025-12-23 07:34:35.689206,0 days 00:00:34.936638,16,0.2819706584483166,0.06250392152362863,768,5.292522271887936e-05,4,3,2.3872041819084848e-05,PRUNED
75,0.4178293818471526,2025-12-23 07:34:35.689397,2025-12-23 07:35:08.509822,0 days 00:00:32.820425,16,0.4327690119870919,0.09435407872532446,768,3.4084824706324805e-05,4,3,0.0008434248995427733,PRUNED
76,0.4935022531643809,2025-12-23 07:35:08.510008,2025-12-23 07:36:15.274062,0 days 00:01:06.764054,16,0.32875926232551034,0.07392677460053584,384,2.200614679250702e-05,4,3,5.898506946079507e-06,PRUNED
77,-0.02576194649487968,2025-12-23 07:36:15.274252,2025-12-23 07:36:56.846389,0 days 00:00:41.572137,128,0.46369516487947127,0.009084036597800247,512,2.7511704214695083e-05,8,3,6.533516042087806e-05,PRUNED
