number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
99,0.3890387795438126,2025-12-22 13:01:12.592616,2025-12-22 13:02:23.778542,0 days 00:01:11.185926,0.0005530962179987973,0.038521020765061906,13491,random,1.595804725657385e-05,0.8589617013931274,-0.18992352485656738,1.222549319267273,0.3890387795438126,COMPLETE
100,0.42759125365642714,2025-12-22 13:02:23.778699,2025-12-22 13:02:53.093297,0 days 00:00:29.314598,0.0022452119324643666,0.09674639921153914,3704,random,8.251808364457616e-06,0.7867437601089478,0.009780168533325195,1.115251064300537,0.42759125365642714,COMPLETE
101,0.4454255509244926,2025-12-22 13:02:53.093459,2025-12-22 13:02:58.772646,0 days 00:00:05.679187,0.010806820584721964,0.07212212678934932,15740,random,9.49575377369487e-05,0.7554666996002197,0.0676451325416565,1.0821750164031982,0.4454255509244926,COMPLETE
102,0.4427656568816422,2025-12-22 13:02:58.772803,2025-12-22 13:03:04.166455,0 days 00:00:05.393652,0.008010741433480219,0.058266303864589225,16407,random,0.00021316855828889725,0.7609477639198303,0.05863368511199951,1.0873920917510986,0.4427656568816422,COMPLETE
103,0.42741187236378564,2025-12-22 13:03:04.166607,2025-12-22 13:03:16.371321,0 days 00:00:12.204714,0.004022462972530011,0.017340042690860685,15841,random,9.218908699022421e-05,0.7848392724990845,0.014928221702575684,1.1123483180999756,0.42741187236378564,COMPLETE
104,0.41617598186467647,2025-12-22 13:03:16.371479,2025-12-22 13:03:19.746107,0 days 00:00:03.374628,0.023965567191360657,0.10275439236608269,17052,random,6.487430651733455e-05,0.7616169452667236,0.04270225763320923,1.0965548753738403,0.41617598186467647,COMPLETE
105,0.4385876838120526,2025-12-22 13:03:19.746257,2025-12-22 13:03:25.575929,0 days 00:00:05.829672,0.008834956016259193,0.14243664052028154,15488,random,0.00013192173193304638,0.758904218673706,0.05868065357208252,1.087364912033081,0.4385876838120526,COMPLETE
106,0.41436375407190995,2025-12-22 13:03:25.576087,2025-12-22 13:03:55.206198,0 days 00:00:29.630111,0.0014835638496728492,0.07507950114388871,14046,random,3.391023165205518e-05,0.8048905730247498,-0.03736424446105957,1.1414909362792969,0.41436375407190995,COMPLETE
107,0.31992404764954535,2025-12-22 13:03:55.206358,2025-12-22 13:03:55.821126,0 days 00:00:00.614768,0.05094009861302568,0.7109175063249047,14966,random,0.00026376533588388316,0.7840921878814697,0.047455787658691406,1.0938289165496826,0.31992404764954535,COMPLETE
108,0.44408927375357693,2025-12-22 13:03:55.821244,2025-12-22 13:03:59.656281,0 days 00:00:03.835037,0.012700072668154623,0.032507264422492396,17034,random,0.0003207644000031942,0.757813572883606,0.06261664628982544,1.0850892066955566,0.44408927375357693,COMPLETE
