number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
66,0.44257703081187155,2025-12-24 08:55:34.539560,2025-12-24 08:55:35.424115,0 days 00:00:00.884555,0.003513761871586542,0.8914642938681886,122,3.3873876905662503,0.005358359306597496,0.04963301267406694,11,180,1500,0.7848161273737387,0.4130809363826082,0.7029917022127432,0.21852116286754608,COMPLETE
67,0.4858044164033091,2025-12-24 08:55:35.424288,2025-12-24 08:55:35.844818,0 days 00:00:00.420530,1.0365231374272648e-05,0.9061816781503763,128,2.6684002619970744,0.08609140243232719,0.06555191183620705,14,2,1171,0.6791393594416227,0.4491755776362728,0.7461926819514796,0.1813497245311737,COMPLETE
68,0.476923076922605,2025-12-24 08:55:35.844953,2025-12-24 08:55:36.729032,0 days 00:00:00.884079,4.14785080711917e-05,0.862591756330146,83,2.243986723508936,7.772159303970514,0.03612519841196208,9,46,893,0.7065439485672994,0.452165208999192,0.7542696947480672,0.20767664909362793,COMPLETE
69,0.3387978142073688,2025-12-24 08:55:36.729174,2025-12-24 08:55:37.031942,0 days 00:00:00.302768,0.5851914247360496,0.8350407435766586,141,3.1361269191634276,0.0006723937725764659,0.043001342159936576,8,482,1219,0.7160829522369803,0.20394736842105263,0.5,0.21888507902622223,COMPLETE
70,0.4780487804873829,2025-12-24 08:55:37.032068,2025-12-24 08:55:37.300450,0 days 00:00:00.268382,0.08628871129908817,0.9678395884858568,26,0.684524283119222,1.1638936179199888e-05,0.11412499462041965,6,17,1350,0.7658874849432636,0.4297012236268892,0.7516912156758198,0.12482640147209167,COMPLETE
71,0.4979811574692725,2025-12-24 08:55:37.300570,2025-12-24 08:55:38.799737,0 days 00:00:01.499167,0.19166874231443898,0.6080175185324341,171,1.598832382671792,0.001841041128886658,0.029412790016938067,8,31,1136,0.6527920665298967,0.45961872093366074,0.7609470807784592,0.14969372749328613,COMPLETE
72,0.46800731261376394,2025-12-24 08:55:38.799931,2025-12-24 08:55:39.618523,0 days 00:00:00.818592,0.1376210909571458,0.6232613920980995,173,1.6321407814844822,0.00028369304476554924,0.05653924782037151,8,76,1151,0.6514996610830434,0.4451080855987649,0.739931851506265,0.2582983672618866,COMPLETE
73,0.4801097393685497,2025-12-24 08:55:39.618699,2025-12-24 08:55:41.059910,0 days 00:00:01.441211,0.7121846944051855,0.5506814865972168,181,2.0152950753183374,0.001462217120411709,0.028895665713182916,10,63,1267,0.6296083054241859,0.4466928954825195,0.7443598373766995,0.1762712001800537,COMPLETE
74,0.4911717495982367,2025-12-24 08:55:41.060095,2025-12-24 08:55:42.765357,0 days 00:00:01.705262,3.8701055739728276,0.5867948344197622,146,1.1740003347585963,3.8847618093535293e-05,0.015405422823877378,12,39,1027,0.6940961423222077,0.45117314411676557,0.7497667288723008,0.22860561311244965,COMPLETE
75,0.4336661911550349,2025-12-24 08:55:42.765554,2025-12-24 08:55:43.087664,0 days 00:00:00.322110,0.05548667745867647,0.9211380611734237,155,2.603018424557444,0.010408327474325107,0.14498659557304847,9,228,1320,0.7406806133636898,0.3707960875704952,0.6857962876566249,0.22305580973625183,COMPLETE
76,0.48143405889841423,2025-12-24 08:55:43.087804,2025-12-24 08:55:43.571941,0 days 00:00:00.484137,0.18399616291100626,0.6140640279112028,165,0.32910427212316384,0.00532491255102157,0.0855488083191079,6,13,800,0.6792525814799124,0.4321428816474588,0.7492085443881632,0.12281203269958496,COMPLETE
77,0.48022598870010974,2025-12-24 08:55:43.572072,2025-12-24 08:55:44.750608,0 days 00:00:01.178536,0.02303056930653906,0.5674549100764308,185,0.8338023057205257,0.00012475143188403742,0.03816894590715936,8,95,1441,0.9400363028120091,0.44073461402272573,0.746517595307918,0.18241223692893982,COMPLETE
78,0.5008756567420655,2025-12-24 08:55:44.750757,2025-12-24 08:55:45.587572,0 days 00:00:00.836815,0.2590904285968221,0.7758013356118835,174,3.6111749678311713,0.023425812885768647,0.04712793082742692,7,32,1374,0.6161797516704635,0.4610568211173913,0.7618135163956279,0.24267014861106873,COMPLETE
79,0.4547803617566704,2025-12-24 08:55:45.587807,2025-12-24 08:55:46.690937,0 days 00:00:01.103130,0.006202322679513844,0.7728590924329571,174,7.721487793946525,0.0008444211705763414,0.027570405099604116,7,53,1218,0.5528778379170065,0.4271418713356269,0.7264104572114104,0.1768781989812851,COMPLETE
80,0.3387978142073688,2025-12-24 08:55:46.691082,2025-12-24 08:55:47.030765,0 days 00:00:00.339683,0.28604242087152326,0.7487716628561019,194,3.5702301922761075,0.0003821678588582991,0.03195147198313735,6,365,915,0.5986456494367961,0.20394736842105263,0.5,0.2187926024198532,COMPLETE
81,0.4897959183668998,2025-12-24 08:55:47.030893,2025-12-24 08:55:47.822884,0 days 00:00:00.791991,2.000100309304974,0.8098259595490249,170,1.4894286023102505,0.003337161464195327,0.048379725176889744,8,33,1395,0.6401028527076879,0.4647237863444083,0.754073913623034,0.16311100125312805,COMPLETE
82,0.48587570621423404,2025-12-24 08:55:47.823007,2025-12-24 08:55:48.421612,0 days 00:00:00.598605,0.8809089034622035,0.6379888958843305,180,2.003677667600459,0.025287442717642314,0.06420515214609933,4,26,1375,0.6220506976430293,0.449146136375711,0.7475881431618234,0.18192505836486816,COMPLETE
83,0.4911717495982367,2025-12-24 08:55:48.421745,2025-12-24 08:55:48.936407,0 days 00:00:00.514662,0.12917576363582078,0.7924777774096051,158,3.124847001273089,0.06535273698818451,0.05587666763499264,9,1,1466,0.6026091020022449,0.43733786364908034,0.7530575179952012,0.19328387081623077,COMPLETE
84,0.4821150855360735,2025-12-24 08:55:48.936539,2025-12-24 08:55:49.597910,0 days 00:00:00.661371,0.06504886306029224,0.6688100058464611,185,3.9411759233045895,0.009075718339764604,0.04401590150728001,3,50,1270,0.6707167881288392,0.43521824851928637,0.7457719608104505,0.22069314122200012,COMPLETE
85,0.49447513812109656,2025-12-24 08:55:49.598054,2025-12-24 08:55:50.672193,0 days 00:00:01.074139,0.5880394632321765,0.8575601767503773,135,2.392565262208594,0.16628527235427557,0.023255126730680035,7,13,1102,0.7524639093360864,0.4449294390060476,0.7612803252466009,0.16293705999851227,COMPLETE
86,0.4601063829782813,2025-12-24 08:55:50.672318,2025-12-24 08:55:52.087884,0 days 00:00:01.415566,0.2660952297505375,0.8628030638985936,135,2.3839304520791567,0.0021048042024730995,0.01262032017627259,7,72,1153,0.6577279502252303,0.43557179014086134,0.7333960943748333,0.1877930462360382,COMPLETE
87,0.504504504504037,2025-12-24 08:55:52.088017,2025-12-24 08:55:53.190204,0 days 00:00:01.102187,0.49745790595960826,0.9370271881778666,150,1.2428217669805268,0.85973088553266,0.022536418540131834,7,14,1073,0.7007552217226563,0.4496422338519298,0.7579062250066649,0.1906472146511078,COMPLETE
88,0.40950226244303517,2025-12-24 08:55:53.190353,2025-12-24 08:55:53.927103,0 days 00:00:00.736750,0.009471471807614427,0.9292663373904243,151,0.015059992748598594,1.7159394597616238,0.02097138214762096,8,290,993,0.6959431934782464,0.3202614762581459,0.652196914156225,0.2152729481458664,COMPLETE
89,0.48812664907607684,2025-12-24 08:55:53.927254,2025-12-24 08:55:55.629922,0 days 00:00:01.702668,0.04158135746659233,0.9810723275605853,164,0.4269908544178919,0.8373462712347218,0.018131054578590843,7,43,1073,0.646451728973481,0.44697922285457714,0.7565190949080246,0.1640866994857788,COMPLETE
90,0.4682539682535274,2025-12-24 08:55:55.630103,2025-12-24 08:55:56.935631,0 days 00:00:01.305528,0.019273856008160246,0.8943541118961917,145,1.3005996688039159,10.564232209727463,0.03397477497148501,5,119,1225,0.7127278744827076,0.43710279297620974,0.7369909690749135,0.18003085255622864,COMPLETE
91,0.5015105740176583,2025-12-24 08:55:56.935830,2025-12-24 08:55:58.088963,0 days 00:00:01.153133,0.5478557579417778,0.9410273013981497,131,1.5798239946355201,0.045721542720744454,0.022456865228722988,7,17,1100,0.7528402527116054,0.44876819792797124,0.7620509530791788,0.19621026515960693,COMPLETE
92,0.487444608566744,2025-12-24 08:55:58.089117,2025-12-24 08:55:59.116386,0 days 00:00:01.027269,7.694812211023318e-07,0.908520660375403,149,1.575403593015802,0.4284443374803348,0.025335980795300028,6,31,1033,0.7322009543226415,0.4494290107710144,0.7498958611037057,0.19503498077392578,COMPLETE
93,0.4971751412424827,2025-12-24 08:55:59.116555,2025-12-24 08:56:00.441802,0 days 00:00:01.325247,0.4284518652196443,0.941124013043542,141,1.1967843717484534,22.34000910484103,0.03898799420403292,8,13,959,0.5026132207967736,0.4699652354625087,0.7633714342841909,0.16500283777713776,COMPLETE
94,0.49152542372835833,2025-12-24 08:56:00.441962,2025-12-24 08:56:01.845747,0 days 00:00:01.403785,6.296422243228769,0.9390672343503983,140,0.8268358367298227,26.745580495647413,0.03915096046926192,7,12,942,0.5513883872790564,0.4601848325973559,0.7555901759530792,0.17630630731582642,COMPLETE
95,0.5006518904819612,2025-12-24 08:56:01.845907,2025-12-24 08:56:02.972673,0 days 00:00:01.126766,0.44648523554639075,0.9500660476226732,129,1.124695920570554,5.132455487274613,0.03059538412734746,8,24,1096,0.7750756884391369,0.4626108510954414,0.7616927152759264,0.14329807460308075,COMPLETE
96,0.5082872928172291,2025-12-24 08:56:02.972830,2025-12-24 08:56:04.360846,0 days 00:00:01.388016,1.097106128976718,0.9533549120577333,130,1.8716010372667133,4.503550298998716,0.028732546447417597,7,30,1078,0.8022511004810212,0.4624989219005955,0.7630340242601973,0.15625938773155212,COMPLETE
97,0.4311594202893603,2025-12-24 08:56:04.361024,2025-12-24 08:56:05.501064,0 days 00:00:01.140040,21.209403136435398,0.9992965386663964,131,1.8285258039649839,5.44343779277602,0.014433920111800657,6,44,1070,0.7759463736915161,0.4055733723178723,0.7036165355905092,0.27839580178260803,COMPLETE
