number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
35,0.7260504201675746,2025-12-21 16:04:57.056545,2025-12-21 16:11:58.203885,0 days 00:07:01.147340,16,256,0.3823033660470646,256,2,5.759086602575459e-05,8,1.8969123747869066e-05,0.78635559596045,0.7260504201675746,0.4187547266483307,PRUNED
36,0.7428849428357991,2025-12-21 16:11:58.204066,2025-12-21 16:53:50.541217,0 days 00:41:52.337151,16,256,0.2944926002448248,256,3,0.00010784008949208567,8,7.491923611170257e-07,0.7863895114061608,0.7199621570477589,0.087948277592659,COMPLETE
37,0.7259604190914786,2025-12-21 16:53:50.541498,2025-12-21 17:00:50.156202,0 days 00:06:59.614704,16,384,0.33887942017143124,256,4,0.0002788334738770943,8,8.239467926501595e-05,0.7877675649708356,0.7259604190914786,0.2523111402988434,PRUNED
38,0.6956883982498929,2025-12-21 17:00:50.156383,2025-12-21 17:04:21.501452,0 days 00:03:31.345069,64,128,0.2301266707872504,256,2,4.4417902948490255e-05,4,1.9141852985393895e-05,0.7452668132518657,0.6956883982498929,0.3101761043071747,PRUNED
39,0.7362503055482712,2025-12-21 17:04:21.501629,2025-12-21 17:14:47.160045,0 days 00:10:25.658416,16,256,0.43355172910854817,256,3,0.000402196372115709,8,1.8580140207957985e-06,0.8072140355328161,0.7362503055482712,0.31764304637908936,PRUNED
40,0.7289142314083944,2025-12-21 17:14:47.160234,2025-12-21 17:21:49.498948,0 days 00:07:02.338714,16,128,0.3273251842790164,1536,3,0.00013662818721460736,4,5.249220080410175e-06,0.790084533147283,0.7289142314083944,0.3277435302734375,PRUNED
41,0.692029755578696,2025-12-21 17:21:49.499130,2025-12-21 17:25:21.996402,0 days 00:03:32.497272,64,256,0.02789546085020314,1024,3,1.0363219091920611e-05,8,0.0001669551146623954,0.7382620257416764,0.692029755578696,0.3381003141403198,PRUNED
42,0.7290306985733527,2025-12-21 17:25:21.996575,2025-12-21 17:32:21.070522,0 days 00:06:59.073947,32,256,0.4798220603190986,512,4,0.00021190100961761328,8,0.0008956572869459704,0.7879280393524881,0.7290306985733527,0.4026062786579132,PRUNED
43,0.7032816773012459,2025-12-21 17:32:21.070712,2025-12-21 17:35:49.186474,0 days 00:03:28.115762,16,256,0.20679665537150113,1536,3,1.5011291381073084e-05,8,0.0023166800380614153,0.7513959656182536,0.7032816773012459,0.38011330366134644,PRUNED
44,0.7331272539922888,2025-12-21 17:35:49.186648,2025-12-21 17:46:12.287104,0 days 00:10:23.100456,16,256,0.16633932900674162,1024,2,0.0005344837567179263,8,0.00021725826265548087,0.8012026328956918,0.7331272539922888,0.4344889223575592,PRUNED
