number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
37,0.6141245533785589,2025-12-22 01:02:13.159170,2025-12-22 01:02:17.002528,0 days 00:00:03.843358,16,0.31900935859867185,256,2.5352021502906705,huber,0.0005270136966563438,0.00037088566744276913,0.844636857509613,0.16293549537658691,1.364640712738037,0.6141245533785589,PRUNED
38,0.5183469043836693,2025-12-22 01:02:17.002677,2025-12-22 01:02:20.095066,0 days 00:00:03.092389,64,0.2705172318648372,512,,mse,8.279461670068559e-05,1.4733985940019373e-09,4.805063724517822,-10.29897403717041,5.013700485229492,0.5183469043836693,PRUNED
39,0.6071536777968829,2025-12-22 01:02:20.095224,2025-12-22 01:02:23.667217,0 days 00:00:03.571993,32,0.18036695513700118,1024,1.46980006398921,huber,3.349916888340499e-05,1.89238863844838e-05,4.685494899749756,-9.722929000854492,4.884223937988281,0.6071536777968829,PRUNED
40,0.3990950219221783,2025-12-22 01:02:23.667373,2025-12-22 01:02:27.312334,0 days 00:00:03.644961,16,0.34724920056633457,256,,mse,0.0029995566952196575,1.982703073867154e-07,0.8936901688575745,0.09952044486999512,1.4153889417648315,0.3990950219221783,PRUNED
41,0.607256142065746,2025-12-22 01:02:27.312484,2025-12-22 01:02:30.465806,0 days 00:00:03.153322,32,0.2369342374772187,2048,1.8492724812322505,huber,0.00020766980295643602,0.0027635528079517535,0.9948440790176392,0.2711929678916931,1.273342251777649,0.607256142065746,PRUNED
42,0.6100094561290631,2025-12-22 01:02:30.465959,2025-12-22 01:02:33.836750,0 days 00:00:03.370791,32,0.2559213770572406,2048,0.911391580326646,huber,0.0001598551990279977,0.0036839694661911474,1.0923709869384766,0.20093947649002075,1.3333024978637695,0.6100094561290631,PRUNED
43,0.2621829269273092,2025-12-22 01:02:33.837027,2025-12-22 01:02:36.952893,0 days 00:00:03.115866,32,0.29533004826937737,2048,2.184009310849192,huber,0.0010746936089811383,0.0008645368392434155,0.9138131737709045,0.06886154413223267,1.4392822980880737,0.2621829269273092,PRUNED
44,0.34079946353715324,2025-12-22 01:02:36.953046,2025-12-22 01:02:40.658125,0 days 00:00:03.705079,32,0.3873361609820882,2048,1.4837462409427475,huber,0.0003294705807158555,8.091411289584971e-05,1.0909910202026367,-0.27364468574523926,1.6833057403564453,0.34079946353715324,PRUNED
45,0.34798848885253736,2025-12-22 01:02:40.658282,2025-12-22 01:02:44.531949,0 days 00:00:03.873667,32,0.33277126431297155,2048,2.8621065024829586,huber,0.0006533727524614152,0.00020973213929820016,1.3585741519927979,-0.11843740940093994,1.5774104595184326,0.34798848885253736,PRUNED
46,0.6245461611116191,2025-12-22 01:02:44.532114,2025-12-22 01:02:47.542317,0 days 00:00:03.010203,32,0.17274568418699948,256,3.857915528323133,huber,0.0001746005466277591,0.004365770407637616,2.674471378326416,-2.9417760372161865,2.9613165855407715,0.6245461611116191,PRUNED
47,0.4929258498086719,2025-12-22 01:02:47.542480,2025-12-22 01:02:50.946181,0 days 00:00:03.403701,16,0.22125022558111168,1024,2.0005228456727204,huber,0.0023831738203755953,0.0014534768308741332,0.9645090103149414,0.12255245447158813,1.3971706628799438,0.4929258498086719,PRUNED
48,0.616077985084946,2025-12-22 01:02:50.946337,2025-12-22 01:02:54.231274,0 days 00:00:03.284937,32,0.26214504677769473,2048,,mse,0.00011888705951252478,0.00036362870611972916,0.8827244639396667,0.22482305765151978,1.313225507736206,0.616077985084946,PRUNED
49,0.6175257060450096,2025-12-22 01:02:54.231429,2025-12-22 01:02:58.059195,0 days 00:00:03.827766,64,0.09076714672218786,1024,0.8283844278294754,huber,0.0004945213332485636,0.008331929272338728,1.221181035041809,0.08914440870285034,1.4235202074050903,0.6175257060450096,PRUNED
50,0.5813260714454296,2025-12-22 01:02:58.059361,2025-12-22 01:03:02.263596,0 days 00:00:04.204235,16,0.19644444041078152,256,,mse,0.0007159117797455878,1.8841151070671802e-06,0.8824929594993591,0.20999467372894287,1.3257262706756592,0.5813260714454296,PRUNED
51,0.6174397682711246,2025-12-22 01:03:02.263752,2025-12-22 01:03:05.618051,0 days 00:00:03.354299,16,0.4693092100575912,1024,,mse,3.797261890387751e-05,8.094685371018036e-08,3.396789789199829,-4.981312274932861,3.6478512287139893,0.6174397682711246,PRUNED
52,0.6133411975166067,2025-12-22 01:03:05.618210,2025-12-22 01:03:08.724968,0 days 00:00:03.106758,16,0.37009288636718113,1024,,mse,0.00011026374487665008,3.764641223367292e-05,0.9654212594032288,0.2796635031700134,1.2659209966659546,0.6133411975166067,PRUNED
53,0.5669480208146613,2025-12-22 01:03:08.725117,2025-12-22 01:03:12.572023,0 days 00:00:03.846906,16,0.4933958628274125,1024,,mse,0.000281967061902565,0.001063291297660721,0.9047297239303589,0.01822715997695923,1.4778977632522583,0.5669480208146613,PRUNED
