number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
63,0.5427486144716919,2025-12-25 19:23:07.068339,2025-12-25 19:23:28.685206,0 days 00:00:21.616867,0.002720067850895977,0.9571702256346618,94,2.4063839032801435,9.19083179277847e-05,0.006122484830777491,15,0.07720451219793649,1108,0.5485267557026777,COMPLETE
64,0.5454123249594968,2025-12-25 19:23:28.685748,2025-12-25 19:23:50.105496,0 days 00:00:21.419748,0.024640531747920653,0.9065789353522579,106,3.095288530557622,1.2013077998778507e-05,0.009931519389680262,11,0.16144527071749235,1182,0.595904298042234,COMPLETE
65,0.5363257909538686,2025-12-25 19:23:50.106068,2025-12-25 19:24:10.963864,0 days 00:00:20.857796,2.704867480528416e-05,0.9313309966007999,76,1.5582743999943836,8.470327677062112e-10,0.017299233324719894,9,0.43009472856814535,1331,0.6397677471036955,COMPLETE
66,0.6881097470621043,2025-12-25 19:24:10.964405,2025-12-25 19:24:15.100060,0 days 00:00:04.135655,9.178120760751543e-05,0.9764771971825016,85,2.4773540193723753,2.1027369459604217e-06,0.01219577925502138,10,0.05657689680217927,1444,0.6161932749961526,PRUNED
67,0.6881097470621043,2025-12-25 19:24:15.100399,2025-12-25 19:24:19.231588,0 days 00:00:04.131189,0.005280238130500281,0.3134694036466305,149,5.094078352900087,9.971855371896054e-09,0.020865564964504472,6,0.031025882234394075,1310,0.6662633892084311,PRUNED
68,0.630966869011696,2025-12-25 19:24:19.231963,2025-12-25 19:24:23.336236,0 days 00:00:04.104273,0.0004047772541930982,0.940095013362099,132,4.672054937659141,0.0006560196525715624,0.03799047372015848,13,2.0538487338244575,1513,0.5378060175603576,PRUNED
69,0.5355631733956515,2025-12-25 19:24:23.336543,2025-12-25 19:24:47.682276,0 days 00:00:24.345733,0.012538225230284725,0.5088872029840394,138,2.001992686053006,0.048843343753501724,0.00231680938827776,8,0.10233333459587074,1669,0.5089625899143548,COMPLETE
70,0.6638154695676194,2025-12-25 19:24:47.682643,2025-12-25 19:24:51.561864,0 days 00:00:03.879221,0.07091775692349275,0.7651895684261788,60,0.20121006745247283,3.460256825312782e-07,0.008599435974566975,2,0.014379251294708977,773,0.9753892525266492,PRUNED
71,0.5412408275338638,2025-12-25 19:24:51.562173,2025-12-25 19:25:13.304344,0 days 00:00:21.742171,0.004014071835425772,0.948812792189041,96,2.97711323256282,0.00011866433927583278,0.009162167970158622,15,0.16440539318991726,957,0.5866631070186588,COMPLETE
72,0.6976905888909154,2025-12-25 19:25:13.304819,2025-12-25 19:25:17.742022,0 days 00:00:04.437203,0.0011506162292584342,0.9127981310889764,91,1.6809214201544282,5.9022712852258794e-05,0.014353469421186009,13,0.2821756429957368,1236,0.5910521842943595,PRUNED
