number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
43,0.8801843317967353,2025-12-18 14:21:57.924557,2025-12-18 14:21:59.358147,0 days 00:00:01.433590,0.0006132522355346305,0.6780894182822484,142,4.607484586875281,0.0024253791338668626,0.017374337403233298,13,35,1280,0.6910616777614766,0.9431121634526962,0.952525777019509,0.5854818820953369,COMPLETE
44,0.8847926267276107,2025-12-18 14:21:59.358644,2025-12-18 14:22:00.838632,0 days 00:00:01.479988,0.006121931453736516,0.6750981421335657,158,3.1661461755634717,0.16393952870773648,0.019045901201523018,13,27,1243,0.7410426995463459,0.9472717128595869,0.9564016022550256,0.5860287547111511,COMPLETE
45,0.8827586206891552,2025-12-18 14:22:00.838885,2025-12-18 14:22:02.343266,0 days 00:00:01.504381,0.00014334342176594632,0.6962127388712701,155,2.8803864391093406,0.419139664811433,0.014564402442686208,14,22,1210,0.7417583795025444,0.9476403742049537,0.9560492545063423,0.5692026615142822,COMPLETE
46,0.8492569002118161,2025-12-18 14:22:02.343545,2025-12-18 14:22:03.422212,0 days 00:00:01.078667,0.0001335850825024446,0.8362657285584455,161,2.904494321294173,0.6045472102348456,0.00482709237290249,14,106,1218,0.7885760935405517,0.9100405088894297,0.9233365477338478,0.3926492929458618,COMPLETE
47,0.8850325379604553,2025-12-18 14:22:03.422459,2025-12-18 14:22:05.269522,0 days 00:00:01.847063,0.0033555749372258547,0.7005724207952615,172,2.1805365405750567,0.23081139384576102,0.013457135156416312,13,15,1001,0.732169628835518,0.9505155162086486,0.9583302425636081,0.4196990132331848,COMPLETE
48,0.8827292110869217,2025-12-18 14:22:05.269929,2025-12-18 14:22:06.940039,0 days 00:00:01.670110,0.0030985981199957353,0.7495812695538387,169,2.1023591906157337,0.4499535038657218,0.01027988031479058,15,13,997,0.7369177759075753,0.951537287604756,0.9573659224093167,0.3543148338794708,COMPLETE
49,0.8382978723399273,2025-12-18 14:22:06.940300,2025-12-18 14:22:07.603609,0 days 00:00:00.663309,1.7573667418091374e-05,0.7033844393897805,154,3.4244345551144986,0.1199289230482578,0.014462928537585766,14,154,912,0.8518885775091504,0.896861293802864,0.9077776129367258,0.42356789112091064,COMPLETE
50,0.644314868804228,2025-12-18 14:22:07.603850,2025-12-18 14:22:07.807165,0 days 00:00:00.203315,0.013823379089361971,0.8049863248131316,182,0.6614232226269157,2.3941968129388025,0.002653943156076096,13,411,1032,0.7851680165199811,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
51,0.8913043478255878,2025-12-18 14:22:07.807386,2025-12-18 14:22:09.554614,0 days 00:00:01.747228,0.003325127482123922,0.7527879540338069,172,2.416352143408302,0.3502765090999694,0.009410670168395405,15,1,809,0.7255432981942921,0.9516607874157259,0.957736814776352,0.40281593799591064,COMPLETE
52,0.8749999999995002,2025-12-18 14:22:09.554898,2025-12-18 14:22:10.773543,0 days 00:00:01.218645,0.00437240453128181,0.6515585399476281,152,2.51106570564389,0.04102193505185514,0.0056117474238485685,13,14,651,0.7268589241982994,0.9412898184771776,0.9495586380832282,0.5739719271659851,COMPLETE
53,0.8909090909085908,2025-12-18 14:22:10.773787,2025-12-18 14:22:13.177123,0 days 00:00:02.403336,0.00031619239680723553,0.7341377098024011,135,1.3340588273951246,0.37933064058764904,0.009600057802019463,15,2,806,0.7415310698843074,0.9534774769665806,0.960370150582301,0.522415280342102,COMPLETE
54,0.8656716417905463,2025-12-18 14:22:13.177502,2025-12-18 14:22:14.069078,0 days 00:00:00.891576,0.023505982873879363,0.8657416826383513,134,1.076644403765592,1.504570239789379,0.00910704111446218,15,54,817,0.8213264879868432,0.9265034809097552,0.9396743565017431,0.39548981189727783,COMPLETE
55,0.8971553610498288,2025-12-18 14:22:14.069319,2025-12-18 14:22:16.526651,0 days 00:00:02.457332,0.0017554919249919304,0.7396367446123294,168,1.6508992611127136,0.12897795707514018,0.006033480608596454,12,1,709,0.7094128122164082,0.9526878705309801,0.9595912766115273,0.415705144405365,COMPLETE
56,0.8860759493665908,2025-12-18 14:22:16.526907,2025-12-18 14:22:17.863568,0 days 00:00:01.336661,0.0015141026892324788,0.7407849386964172,181,1.517088953363023,15.105608164640177,0.012451042920622725,12,7,704,0.7051252074783299,0.9486942017090015,0.9554001928640309,0.3330138325691223,COMPLETE
57,0.884531590413444,2025-12-18 14:22:17.863805,2025-12-18 14:22:19.437559,0 days 00:00:01.573754,0.0003335254992969454,0.7594547462368415,187,1.5017941464941065,44.047438391113495,0.012583614120993266,12,1,702,0.7076083071619006,0.9440635907301775,0.9526185001112677,0.4304007887840271,COMPLETE
58,0.893246187363335,2025-12-18 14:22:19.437817,2025-12-18 14:22:21.640447,0 days 00:00:02.202630,0.0017236748325350356,0.9917268622215343,169,1.851438840253798,7.49038804661345,0.00629187910427245,11,1,551,0.7696152472737066,0.9456678178351926,0.9527854016764336,0.43180543184280396,COMPLETE
