number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
51,0.3265361551160773,2025-12-21 10:13:14.257109,2025-12-21 10:13:38.477754,0 days 00:00:24.220645,16,0.1500644675870065,256,3.2940152656600676,huber,0.0014411526763452383,8.035082568354213e-05,0.8710809350013733,-0.20526468753814697,1.2304049730300903,0.3265361551160773,PRUNED
52,0.2555644228412861,2025-12-21 10:13:38.477919,2025-12-21 10:14:03.294316,0 days 00:00:24.816397,16,0.10945921399261657,256,4.23010896292879,huber,0.0013527648321664109,4.8445561781251836e-05,0.9077702760696411,-0.22387099266052246,1.239865779876709,0.2555644228412861,PRUNED
53,0.28125075342874617,2025-12-21 10:14:03.294496,2025-12-21 10:14:27.730349,0 days 00:00:24.435853,16,0.07222006683222126,256,2.8483625479499772,huber,0.000509423546408794,1.4567030771302125e-07,0.8001509308815002,-0.015761494636535645,1.1295428276062012,0.28125075342874617,PRUNED
54,0.3460937640747315,2025-12-21 10:14:27.730513,2025-12-21 10:15:14.199097,0 days 00:00:46.468584,16,0.19302642086110525,256,2.2195026723810543,huber,0.0009929743657933281,1.5597776514240776e-05,0.7787484526634216,0.02427995204925537,1.1070556640625,0.3460937640747315,PRUNED
55,0.29984350944804433,2025-12-21 10:15:14.199265,2025-12-21 10:15:42.640856,0 days 00:00:28.441591,16,0.13700087586032142,256,1.8454351278769874,huber,0.0003584029114333909,6.389667938681482e-06,0.8013562560081482,-0.0445178747177124,1.1454200744628906,0.29984350944804433,PRUNED
56,0.2951807751913461,2025-12-21 10:15:42.641019,2025-12-21 10:16:31.221866,0 days 00:00:48.580847,16,0.26752110176775357,2048,3.5717175419842593,huber,0.0007161664835224126,1.2182786790020181e-10,0.8228196501731873,-0.06529879570007324,1.156758189201355,0.2951807751913461,PRUNED
57,0.4743333866976166,2025-12-21 10:16:31.222036,2025-12-21 10:30:16.609626,0 days 00:13:45.387590,16,0.3382826907557353,256,1.191053677838532,huber,0.002521945478371328,4.431487263496034e-07,0.7346434593200684,-0.006085395812988281,1.124150037765503,0.4565888182425967,COMPLETE
58,0.29273550947754284,2025-12-21 10:30:16.609867,2025-12-21 10:30:39.685762,0 days 00:00:23.075895,64,0.09158512375232745,2048,,mse,0.001383641460430235,2.674090996848965e-06,0.7882357239723206,0.017180979251861572,1.1110756397247314,0.29273550947754284,PRUNED
59,0.2950408829211182,2025-12-21 10:30:39.685926,2025-12-21 10:31:04.960305,0 days 00:00:25.274379,16,0.23381784509560563,512,0.8507075967855718,huber,0.0001347830053518984,0.001795838443718111,0.8653810620307922,-0.24068665504455566,1.248354434967041,0.2950408829211182,PRUNED
60,0.350790440124545,2025-12-21 10:31:04.960476,2025-12-21 10:31:55.438983,0 days 00:00:50.478507,16,0.16860643098218286,1024,1.0060293673651148,huber,0.00027191584852339864,1.49441411774734e-07,0.8892720937728882,-0.2651023864746094,1.260577917098999,0.350790440124545,PRUNED
