number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
71,0.9227272727267728,2025-12-18 14:43:53.330914,2025-12-18 14:44:00.466263,0 days 00:00:07.135349,6.669474867330956,balanced,0.5395535005473888,rbf,,svc,0.9568785811696612,0.9538239003041318,0.5683952442275181,COMPLETE
72,0.9220183486233533,2025-12-18 14:44:00.466546,2025-12-18 14:44:08.272841,0 days 00:00:07.806295,8.339912885734577,balanced,1.0684232590170535,rbf,,svc,0.9462285479875933,0.9471292930791484,0.5556209018055047,COMPLETE
73,0.9174311926600505,2025-12-18 14:44:08.273059,2025-12-18 14:44:16.128970,0 days 00:00:07.855911,8.968082597988323,balanced,1.213567111311068,rbf,,svc,0.9439833329969343,0.9455900897559528,0.5438385752480591,COMPLETE
74,0.9153318077798204,2025-12-18 14:44:16.129334,2025-12-18 14:44:24.099560,0 days 00:00:07.970226,19.171752288817373,balanced,1.543138006046925,rbf,,svc,0.9414735364862173,0.9429196647133001,0.5163397784158451,COMPLETE
75,0.9070796460171994,2025-12-18 14:44:24.099784,2025-12-18 14:44:27.895450,0 days 00:00:03.795666,4.973099608270154,balanced,0.09115539868982465,rbf,,svc,0.9533925916289752,0.9605370521474669,0.42560104546635624,COMPLETE
76,0.9132420091319201,2025-12-18 14:44:27.895664,2025-12-18 14:44:33.420630,0 days 00:00:05.524966,1.9264563237058614,balanced,0.2512087813077326,rbf,,svc,0.9574796149804538,0.9576440916845932,0.5559983197785782,COMPLETE
77,0.889390519186859,2025-12-18 14:44:33.420846,2025-12-18 14:44:47.062617,0 days 00:00:13.641771,14.101042782053609,balanced,,,5651.0,linear_calibrated,0.9394279478384622,0.9475558193012388,0.48641127287956004,COMPLETE
78,0.644314868804228,2025-12-18 14:44:47.062842,2025-12-18 14:44:53.660922,0 days 00:00:06.598080,135.83007813116967,balanced,4.408934210804508,sigmoid,,svc,0.4752688172043011,0.5,0.5281837449797014,COMPLETE
79,0.9174311926600505,2025-12-18 14:44:53.661138,2025-12-18 14:45:01.129994,0 days 00:00:07.468856,56.266935592068556,balanced,0.7363645364283349,rbf,,svc,0.9495214056950755,0.9497811735034494,0.5805422915898435,COMPLETE
80,0.9227272727267728,2025-12-18 14:45:01.130219,2025-12-18 14:45:08.230199,0 days 00:00:07.099980,7.458444407824988,,0.5142921857729388,rbf,,svc,0.9571552330534795,0.9540093464876493,0.5670031512386491,COMPLETE
