number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
67,0.3509245811262545,2025-12-21 11:58:51.799010,2025-12-21 11:59:40.656719,0 days 00:00:48.857709,16,256,0.2478147599994644,2.199669942494431,7,3,huber,0.00035387223417758675,0.005056998656061542,0.7735241055488586,0.0719943642616272,1.0796478986740112,0.3509245811262545,PRUNED
68,0.31772178368864495,2025-12-21 11:59:40.656894,2025-12-21 12:00:02.174453,0 days 00:00:21.517559,32,256,0.4001557591992577,1.9447779743900186,7,2,huber,0.0010927470563490626,0.0016277539827655875,0.78298419713974,0.03687882423400879,1.099885106086731,0.31772178368864495,PRUNED
69,0.3114935270677215,2025-12-21 12:00:02.174625,2025-12-21 12:00:22.946594,0 days 00:00:20.771969,64,512,0.18390495501365267,1.3547568299698753,5,3,huber,0.00026548520458494944,2.9902811186936687e-08,0.7818859219551086,-0.00230252742767334,1.1220346689224243,0.3114935270677215,PRUNED
70,0.3267630111878929,2025-12-21 12:00:22.946770,2025-12-21 12:00:46.130430,0 days 00:00:23.183660,16,256,0.2062895248507864,,7,4,mse,0.00020707434097872593,2.8485992902804493e-05,0.7973797917366028,-0.027982115745544434,1.1363173723220825,0.3267630111878929,PRUNED
71,0.33705776577278207,2025-12-21 12:00:46.130601,2025-12-21 12:01:35.621686,0 days 00:00:49.491085,16,256,0.4557667610108147,0.8895911065348042,5,3,huber,0.00012921395068389056,0.007757324273283839,0.7603952288627625,0.008403539657592773,1.1160260438919067,0.33705776577278207,PRUNED
72,0.48210838106162285,2025-12-21 12:01:35.621857,2025-12-21 12:08:04.043487,0 days 00:06:28.421630,16,256,0.3612228023823718,0.7577381813100271,5,3,huber,0.00043664377259955054,0.004059968628024562,0.8305169939994812,-0.05929434299468994,1.1534936428070068,0.48210838106162285,PRUNED
73,0.34006909490186255,2025-12-21 12:08:04.043664,2025-12-21 12:08:28.535970,0 days 00:00:24.492306,16,256,0.15497182619280475,0.6985188711492847,5,2,huber,5.843386747528668e-05,0.0018967133331670198,0.770470142364502,0.0457080602645874,1.094831943511963,0.34006909490186255,PRUNED
74,0.33260021617449376,2025-12-21 12:08:28.536141,2025-12-21 12:08:52.735677,0 days 00:00:24.199536,16,256,0.1231135162758917,1.0887942619049225,5,3,huber,8.840909791008495e-05,0.0005099795027708508,0.8812050819396973,-0.2923544645309448,1.2740827798843384,0.33260021617449376,PRUNED
75,0.33507824744311093,2025-12-21 12:08:52.735848,2025-12-21 12:10:04.842751,0 days 00:01:12.106903,16,256,0.284482342011465,0.6341963897364098,3,3,huber,0.00017357854219278668,6.118578660996475e-08,0.7636108994483948,0.024141252040863037,1.1071343421936035,0.33507824744311093,PRUNED
76,0.5048266612726015,2025-12-21 12:10:04.842930,2025-12-21 12:18:30.399783,0 days 00:08:25.556853,16,512,0.08990962128305544,0.6732695154395437,5,2,huber,0.0006246051388054152,1.210532185401278e-05,0.7005162835121155,0.015897154808044434,1.111801028251648,0.5048266612726015,PRUNED
77,0.31661320457062164,2025-12-21 12:18:30.399961,2025-12-21 12:18:57.281705,0 days 00:00:26.881744,16,128,0.42366839932624467,0.7977854752588199,7,4,huber,4.171804017641851e-05,3.8604562899352943e-07,0.7764928936958313,0.0010938048362731934,1.1201319694519043,0.31661320457062164,PRUNED
78,0.33966222605159796,2025-12-21 12:18:57.281883,2025-12-21 12:19:21.491844,0 days 00:00:24.209961,16,256,0.498921761682757,0.5883348324967299,7,3,huber,0.00010221804338583322,0.0002475334835436049,0.820800244808197,-0.1243293285369873,1.1883753538131714,0.33966222605159796,PRUNED
79,0.33007944587719296,2025-12-21 12:19:21.492018,2025-12-21 12:19:42.423564,0 days 00:00:20.931546,64,512,0.07323861385123207,0.5452021990834541,3,3,huber,0.0005233299858205225,0.005694511938659372,0.8466293215751648,-0.20380234718322754,1.2296583652496338,0.33007944587719296,PRUNED
80,0.5555656761720256,2025-12-21 12:19:42.423737,2025-12-21 12:35:34.109962,0 days 00:15:51.686225,16,256,0.3089232341331338,0.9991664766801021,5,2,huber,0.00033133161679876243,0.0020632860146654656,0.7475011944770813,0.0011777877807617188,1.1200848817825317,0.5517382129347358,COMPLETE
81,0.34091070125077855,2025-12-21 12:35:34.110205,2025-12-21 12:35:57.707688,0 days 00:00:23.597483,16,256,0.47085028797626816,0.8746049120417433,5,3,huber,8.118877468001836e-05,0.0008945529001593679,0.7678164839744568,0.02776157855987549,1.1050788164138794,0.34091070125077855,PRUNED
82,0.3017816778327797,2025-12-21 12:35:57.707865,2025-12-21 12:36:21.324917,0 days 00:00:23.617052,16,256,0.476272739966424,0.7784071849218209,5,3,huber,0.00010489462339994086,3.2961178663454623e-06,0.830565333366394,-0.14880120754241943,1.2012386322021484,0.3017816778327797,PRUNED
83,0.3227380710042158,2025-12-21 12:36:21.325088,2025-12-21 12:36:45.981276,0 days 00:00:24.656188,16,256,0.4494694235355774,0.7132925942563095,5,3,huber,0.00014766278546438584,0.0073067707721503165,0.8631510138511658,-0.22391068935394287,1.2398858070373535,0.3227380710042158,PRUNED
84,0.28166168645690054,2025-12-21 12:36:45.981456,2025-12-21 12:37:11.090711,0 days 00:00:25.109255,16,256,0.4643460930409114,2.469410977677717,5,3,huber,6.870579373195261e-05,1.739957917210408e-07,0.8391323089599609,-0.13661062717437744,1.1948480606079102,0.28166168645690054,PRUNED
85,0.2776093131363174,2025-12-21 12:37:11.090889,2025-12-21 12:37:33.765301,0 days 00:00:22.674412,32,512,0.04720830828177369,,7,3,mse,0.00011687426125836114,1.068857709553992e-06,0.8088109493255615,0.04847753047943115,1.0932421684265137,0.2776093131363174,PRUNED
86,0.5859040169763478,2025-12-21 12:37:33.765478,2025-12-21 13:01:57.848085,0 days 00:24:24.082607,16,256,0.427325050855749,1.0637805639021773,7,3,huber,0.0002851172384868279,0.002511086799796272,1.0691797733306885,-0.4227663278579712,1.3368221521377563,0.5554642250340982,COMPLETE
87,0.3599136027452963,2025-12-21 13:01:57.848327,2025-12-21 13:03:10.377597,0 days 00:01:12.529270,16,256,0.429462218048855,1.2323531961053784,7,2,huber,0.0002789626237248616,0.0025026358051603225,0.7684788107872009,-0.030242204666137695,1.1375657320022583,0.3599136027452963,PRUNED
88,0.38755675361068975,2025-12-21 13:03:10.377770,2025-12-21 13:04:23.471358,0 days 00:01:13.093588,16,256,0.39678448207456063,1.044818797703756,7,3,huber,0.0002119472494322289,0.00040428138490151803,0.9305295348167419,-0.14974236488342285,1.2017306089401245,0.38755675361068975,PRUNED
89,0.30338350056861496,2025-12-21 13:04:23.471537,2025-12-21 13:04:47.727211,0 days 00:00:24.255674,16,512,0.3774121255453447,4.108290944462614,7,3,huber,0.0004275243957837536,0.0013482511757225365,0.9164555668830872,-0.3208550214767456,1.2880550622940063,0.30338350056861496,PRUNED
90,0.31842427653251687,2025-12-21 13:04:47.727392,2025-12-21 13:05:11.620725,0 days 00:00:23.893333,16,128,0.4352189211587443,0.9238184490962692,7,3,huber,0.002292393927912899,0.00012321395331268254,0.8050808310508728,0.05405890941619873,1.0900311470031738,0.31842427653251687,PRUNED
