number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
68,0.477323815136369,2025-12-23 09:19:15.059611,2025-12-23 09:21:25.816815,0 days 00:02:10.757204,16,0.6259930520224547,0.15039929658684767,256,0.00010745994210072373,8,2,0.0007975110092817432,PRUNED
69,0.1973486928205035,2025-12-23 09:21:25.817011,2025-12-23 09:22:19.870522,0 days 00:00:54.053511,128,0.3208149395053006,0.18728142766077074,768,0.00013203556011055534,4,1,8.613555972361323e-05,PRUNED
70,0.40687549000527595,2025-12-23 09:22:19.870721,2025-12-23 09:23:02.791779,0 days 00:00:42.921058,16,0.2831976674005442,0.3750125588617205,256,0.00017253336602752155,4,3,7.910020013136287e-09,PRUNED
71,0.37606986944967424,2025-12-23 09:23:02.791966,2025-12-23 09:23:45.194700,0 days 00:00:42.402734,16,0.1969333226056242,0.26515630117788475,256,0.0002111943455131868,4,3,0.0002969525925905564,PRUNED
72,0.46342527171366804,2025-12-23 09:23:45.194880,2025-12-23 09:25:11.272525,0 days 00:01:26.077645,16,0.2218602858291392,0.304965288226616,256,0.0001943851680821603,4,3,0.00015718782777039036,PRUNED
73,0.39067452778663986,2025-12-23 09:25:11.272718,2025-12-23 09:25:57.126969,0 days 00:00:45.854251,16,0.24678190266183758,0.3995426658654034,256,0.00034950600194463556,4,3,0.00015560712070204332,PRUNED
74,0.18817511943653348,2025-12-23 09:25:57.127157,2025-12-23 09:26:40.450741,0 days 00:00:43.323584,16,0.15818270320935507,0.2716614036311255,256,0.0015244511962124053,4,3,4.477711154798699e-07,PRUNED
75,0.37123264512499393,2025-12-23 09:26:40.450926,2025-12-23 09:27:25.034873,0 days 00:00:44.583947,32,0.1296583908596439,0.29181987628769196,256,0.0005270551722437494,4,3,0.0011142189819170725,PRUNED
76,0.4176394557629283,2025-12-23 09:27:25.035063,2025-12-23 09:28:13.430520,0 days 00:00:48.395457,64,0.18313095811856706,0.2409902025574625,768,8.655980861829596e-05,4,3,0.0006441113515805283,PRUNED
77,0.3956552010608857,2025-12-23 09:28:13.430711,2025-12-23 09:28:57.284789,0 days 00:00:43.854078,16,0.37214555820723766,0.3303440892411182,384,0.00010531175950469404,8,4,5.519906007749916e-08,PRUNED
78,0.56032896971311,2025-12-23 09:28:57.284970,2025-12-23 09:32:33.937319,0 days 00:03:36.652349,16,0.14554360376457415,0.26659128384854636,256,0.0002548831546739336,4,2,4.366974308412039e-05,PRUNED
79,0.2921811884707649,2025-12-23 09:32:33.937508,2025-12-23 09:33:28.227203,0 days 00:00:54.289695,128,0.33346441661634646,0.20391703790438087,768,0.0001414916466712386,4,2,0.0005164067006129963,PRUNED
80,0.1891183692742854,2025-12-23 09:33:28.227389,2025-12-23 09:34:11.957285,0 days 00:00:43.729896,16,0.20437549669270536,0.16987865797321494,512,0.0007048151991617601,8,3,0.00022906136311538506,PRUNED
81,0.4804968992825832,2025-12-23 09:34:11.957472,2025-12-23 09:35:40.763108,0 days 00:01:28.805636,16,0.2574362098580716,0.1969990360702534,768,5.498942156599447e-05,4,3,8.339356732274802e-08,PRUNED
82,0.4951803139055849,2025-12-23 09:35:40.763304,2025-12-23 09:37:21.440954,0 days 00:01:40.677650,16,0.28682629111762353,0.059210599846235314,768,6.680325013203145e-05,4,3,3.8464934822556216e-08,PRUNED
83,0.3958127136329576,2025-12-23 09:37:21.441142,2025-12-23 09:38:05.706464,0 days 00:00:44.265322,16,0.22363574433563915,0.25302510313554777,768,8.158158731762852e-05,4,3,1.6142907246155877e-07,PRUNED
84,0.4326142355533865,2025-12-23 09:38:05.706696,2025-12-23 09:38:48.738641,0 days 00:00:43.031945,16,0.23756749685236916,0.2307742413144498,768,3.361337674761252e-05,4,3,3.1152394399850466e-07,PRUNED
85,0.4313533077048987,2025-12-23 09:38:48.738844,2025-12-23 09:39:32.468024,0 days 00:00:43.729180,16,0.2696360947398353,0.12354992215771142,768,0.00015943883789172085,4,3,7.066822993619855e-07,PRUNED
86,0.4165734331769413,2025-12-23 09:39:32.468209,2025-12-23 09:40:16.128648,0 days 00:00:43.660439,16,0.17941477104180747,0.2830664347556641,768,4.725877628190436e-05,4,3,2.0777733641144285e-08,PRUNED
87,0.47785674370217135,2025-12-23 09:40:16.128833,2025-12-23 09:41:41.778231,0 days 00:01:25.649398,16,0.896352655170147,0.3046569093691852,384,9.415829386464027e-05,4,4,4.0206397547134805e-09,PRUNED
88,0.392600085889343,2025-12-23 09:41:41.778422,2025-12-23 09:42:26.387755,0 days 00:00:44.609333,32,0.310667040165121,0.21672737870166028,256,0.00012465845726526223,4,3,1.066682065894394e-08,PRUNED
89,0.3408997277399906,2025-12-23 09:42:26.387937,2025-12-23 09:43:21.715361,0 days 00:00:55.327424,128,0.24548614957220158,0.15972778672910848,768,7.006656436949235e-05,4,3,2.0678245435922807e-05,PRUNED
90,0.2696934560829924,2025-12-23 09:43:21.715560,2025-12-23 09:44:05.950044,0 days 00:00:44.234484,16,0.16998356125535902,0.2746191847137738,256,2.4900377503064865e-05,8,3,1.3048237403595768e-06,PRUNED
91,0.3930135563910319,2025-12-23 09:44:05.950232,2025-12-23 09:44:48.897411,0 days 00:00:42.947179,16,0.4661768088936236,0.09233557583402559,512,4.053101056350295e-05,8,3,6.205044753992689e-06,PRUNED
92,0.4318276654193214,2025-12-23 09:44:48.897597,2025-12-23 09:45:31.929321,0 days 00:00:43.031724,16,0.11380590511901476,0.06978710361653537,512,5.268893168267164e-05,8,3,7.058553419887296e-08,PRUNED
93,0.5551085530387254,2025-12-23 09:45:31.929509,2025-12-23 09:49:07.943365,0 days 00:03:36.013856,16,0.10442112400755958,0.03707343731346413,512,6.258428670809174e-05,8,3,1.314891661906094e-07,PRUNED
94,0.0660962130556933,2025-12-23 09:49:07.943551,2025-12-23 09:49:56.210777,0 days 00:00:48.267226,64,1.394726948990999,0.11096407253472412,512,3.098829806646082e-05,8,1,0.00011658526965053679,PRUNED
95,0.4187216928783932,2025-12-23 09:49:56.210977,2025-12-23 09:50:40.174455,0 days 00:00:43.963478,16,0.4174151423806709,0.13102281512176633,384,3.853380656771469e-05,4,3,6.934081751202221e-05,PRUNED
