number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
52,0.45890510237566107,2025-12-23 03:57:25.167133,2025-12-23 03:57:26.911086,0 days 00:00:01.743953,32,0.759115478354018,0.36296222618831075,256,0.0001313477101999964,8,3,9.422060730702953e-07,PRUNED
53,0.3400090867993778,2025-12-23 03:57:26.911245,2025-12-23 03:57:27.572044,0 days 00:00:00.660799,32,0.4658872712598584,0.2821178316788442,256,8.733610153192591e-05,8,3,5.8743414077771466e-06,PRUNED
54,0.47817209975508007,2025-12-23 03:57:27.572188,2025-12-23 03:57:28.942783,0 days 00:00:01.370595,32,0.5006782459919986,0.27219262033176017,256,0.0002654841390470658,8,4,2.7827774163212153e-06,PRUNED
55,0.38732027109166645,2025-12-23 03:57:28.942938,2025-12-23 03:57:29.710982,0 days 00:00:00.768044,16,0.8130250894803195,0.1604529152435068,384,3.0510115567414045e-05,8,2,3.0809560553519925e-05,PRUNED
56,0.3935496285901003,2025-12-23 03:57:29.711139,2025-12-23 03:57:30.409472,0 days 00:00:00.698333,32,0.39334431259843405,0.1898075964358334,512,0.00011915760492816981,8,3,0.0005750946343132528,PRUNED
57,0.3659490248765215,2025-12-23 03:57:30.409617,2025-12-23 03:57:31.266435,0 days 00:00:00.856818,32,0.342953569676329,0.3074924305812289,768,6.91833123772054e-05,8,3,2.3045799934127345e-07,PRUNED
58,0.4805925319156269,2025-12-23 03:57:31.266585,2025-12-23 03:57:33.346800,0 days 00:00:02.080215,16,0.19687028282143548,0.3766400684373131,256,4.675060769787526e-05,8,4,2.836842106728591e-09,PRUNED
59,0.11099640526950583,2025-12-23 03:57:33.346964,2025-12-23 03:57:33.929796,0 days 00:00:00.582832,128,0.594082727921291,0.33753133880117697,384,9.698274599473219e-05,4,3,0.009731401371601644,PRUNED
60,0.394624420258356,2025-12-23 03:57:33.929959,2025-12-23 03:57:34.513739,0 days 00:00:00.583780,32,0.6827767036864285,0.2158019113359958,384,0.0004235489407037319,8,2,1.1783579401976381e-05,PRUNED
61,0.4372365346352921,2025-12-23 03:57:34.513903,2025-12-23 03:57:35.616713,0 days 00:00:01.102810,64,1.0632075604190132,0.05425972767603093,256,0.0019842000659743317,4,1,7.520956394991075e-05,PRUNED
62,0.38588280341712744,2025-12-23 03:57:35.616867,2025-12-23 03:57:36.189127,0 days 00:00:00.572260,64,0.7340571650744547,0.08733260260040947,256,0.0014641720662427358,4,1,1.9172605562156854e-06,PRUNED
63,0.4242449261686456,2025-12-23 03:57:36.189279,2025-12-23 03:57:37.324792,0 days 00:00:01.135513,64,1.2876567251560531,0.09525797815584156,256,0.0009135841372989629,4,3,0.00012838817828116555,PRUNED
64,0.33649086481141777,2025-12-23 03:57:37.324953,2025-12-23 03:57:37.917833,0 days 00:00:00.592880,64,0.8885366488364334,0.0669801061967125,256,0.0007131350414839251,4,2,3.4038462774041454e-05,PRUNED
