number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
86,0.5506043185655938,2025-12-23 03:57:14.398988,2025-12-23 03:57:30.625155,0 days 00:00:16.226167,16,0.15768766719896246,0.10458640693152729,384,0.00012358486089067715,8,3,4.9274721189145075e-05,COMPLETE
87,0.3512484057122892,2025-12-23 03:57:30.625444,2025-12-23 03:57:31.450965,0 days 00:00:00.825521,64,0.13721980779250814,0.16369060966636512,768,9.75026283601042e-05,4,3,0.00038238996680554086,PRUNED
88,0.3109552511976891,2025-12-23 03:57:31.451137,2025-12-23 03:57:32.571933,0 days 00:00:01.120796,16,0.16678819704389145,0.2547133231908135,768,0.0002936188440874209,4,3,0.00025112167215436156,PRUNED
89,0.37516658283833754,2025-12-23 03:57:32.572107,2025-12-23 03:57:33.547499,0 days 00:00:00.975392,16,0.11842231154833642,0.1815685438294837,384,0.00034017977393310214,8,3,1.0895346141331193e-05,PRUNED
90,0.3470231375787526,2025-12-23 03:57:33.547652,2025-12-23 03:57:34.848048,0 days 00:00:01.300396,16,0.1834961128942391,0.28339141214201174,768,1.1734505979174628e-05,4,4,0.0006150032120339786,PRUNED
91,0.4000895922683778,2025-12-23 03:57:34.848207,2025-12-23 03:57:35.732222,0 days 00:00:00.884015,32,0.10959833865399703,0.18529427078050945,768,9.127041032130975e-05,4,3,1.9658320614705863e-05,PRUNED
92,0.4124635289393891,2025-12-23 03:57:35.732387,2025-12-23 03:57:36.582238,0 days 00:00:00.849851,32,0.1267480800676851,0.2099793118321891,768,0.00011210376975769062,4,3,8.217015687542738e-05,PRUNED
93,0.39315257503330825,2025-12-23 03:57:36.582397,2025-12-23 03:57:37.410238,0 days 00:00:00.827841,32,0.14750659761233342,0.19954077348220556,768,0.00017181209821444396,4,3,3.948361978885333e-05,PRUNED
94,0.42282736096199425,2025-12-23 03:57:37.410395,2025-12-23 03:57:38.498580,0 days 00:00:01.088185,16,0.11288519936471701,0.20002373186553932,768,0.00013347644658686376,4,3,0.00013980115907516133,PRUNED
95,-0.08899829518162175,2025-12-23 03:57:38.498731,2025-12-23 03:57:39.834295,0 days 00:00:01.335564,128,0.1047717368787234,0.21969646523948863,384,3.6566478072027165e-05,4,3,1.992720110904924e-09,PRUNED
96,0.3892929804905828,2025-12-23 03:57:39.834455,2025-12-23 03:57:41.856124,0 days 00:00:02.021669,16,0.1333812456754277,0.15282757803906363,512,0.00020438575902290712,4,3,5.161298305581283e-06,PRUNED
97,0.5439185644115749,2025-12-23 03:57:41.856280,2025-12-23 03:57:51.849568,0 days 00:00:09.993288,32,0.11682615108326126,0.12558273154047284,768,6.231542062034979e-05,4,2,2.771545728477353e-07,COMPLETE
98,0.47234708984904655,2025-12-23 03:57:51.849822,2025-12-23 03:57:53.686669,0 days 00:00:01.836847,16,0.23352547053600634,0.1702468167135711,384,0.00024003433718213903,8,3,5.454420848112192e-10,PRUNED
99,0.44136318366444816,2025-12-23 03:57:53.686836,2025-12-23 03:57:54.858331,0 days 00:00:01.171495,64,0.14062729639771895,0.18964196777313538,512,7.258176602496614e-05,4,3,1.579577954393417e-06,PRUNED
100,0.38142791800518744,2025-12-23 03:57:54.858483,2025-12-23 03:57:56.293044,0 days 00:00:01.434561,16,0.12526055769087754,0.14130782944871229,768,2.759901901404133e-05,8,3,4.748071964177501e-07,PRUNED
101,0.42936042108952505,2025-12-23 03:57:56.293209,2025-12-23 03:57:57.269483,0 days 00:00:00.976274,16,0.1038866643713695,0.20717002177357616,512,8.227146447887305e-05,4,3,1.4892781456930652e-05,PRUNED
102,0.49306969342940205,2025-12-23 03:57:57.269640,2025-12-23 03:58:01.185438,0 days 00:00:03.915798,16,0.11296293708080721,0.20133014704711086,512,0.00011073878952897141,4,3,6.60678918606098e-05,PRUNED
