task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,xgb_log,xgb_wt_log,4,0.4736477581840027,0.4736477581840027,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,5,0.5223713841162455,0.5223713841162455,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,6,0.5721131263489997,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,7,0.5305059912714827,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,8,0.33977771200033297,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,9,0.46856966065150896,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,10,0.5166126652527512,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,11,0.33977771200033297,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,12,0.5292734647498081,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,13,0.5413880764346304,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,14,0.5010109590443034,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,15,0.5029303566674341,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,16,0.5689443137200347,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,17,0.5395405671925715,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,18,0.5508079510909403,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,19,0.35483332058846456,0.5721131263489997,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,20,0.5879000126060311,0.5879000126060311,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,21,0.5758770284960327,0.5879000126060311,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,22,0.6504707255917755,0.6504707255917755,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,23,0.6692902363269398,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,24,0.5723058020509549,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,25,0.33977771200033297,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,26,0.608041283207041,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,27,0.6244655834850027,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,28,0.6651841612574495,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,29,0.5666383595896791,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,30,0.5686836941518483,0.6692902363269398,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,31,0.6805819427680386,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,32,0.5495297134668023,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,33,0.6754493489311756,0.6805819427680386,NA,NA,NA,regression
