task,setting,mode,repr,model,run,trial_index,rho,best_so_far
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,183,0.43141320219133794,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,184,0.4343492261394423,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,185,0.39849125463009294,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,186,0.40483858110319837,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,187,0.4362547283299613,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,188,0.42731307714037664,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,189,0.5212218409735397,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,190,0.5064250900985745,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,191,0.3646943842945661,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,192,0.49634891820867755,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,193,0.3815310026482593,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,194,0.5068091097201911,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,195,0.3889708440107735,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,196,0.39605824793648153,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,197,0.3866419081237095,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,198,0.3995690244772324,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,199,0.42250166369935527,0.5926316705468855
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,0,0.5427633397482036,0.5427633397482036
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,1,0.5996460600639822,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,2,0.5540579177103042,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,3,0.5953806460849749,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,4,0.5563516118139108,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,5,0.45656226832047325,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,6,0.42628080724840517,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,7,0.17424380529031155,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,8,0.45606061063295,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,9,-0.015871115914960585,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,10,0.010082293702046852,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,11,0.5993889439536882,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,12,0.5787579406455285,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,13,0.39841603880470416,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,14,0.5802275064702587,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,15,0.45597473980846953,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,16,0.3892987745967468,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,17,0.5158912316804576,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,18,0.49274813448388566,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,19,0.12484856789291422,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,20,0.2530149925166676,0.5996460600639822
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,21,0.6043173336430866,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,22,0.43219960687102066,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,23,0.3680934791271776,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,24,0.5468947356774437,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,25,0.3060381584535361,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,26,0.23126706328944568,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,27,0.4661766570290123,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,28,0.34205757750822535,0.6043173336430866
binding_affinity,wt_smiles_unpooled,pooled,wt,transformer,wt_smiles_unpooled,29,0.3565088596326798,0.6043173336430866
